Start time: 1375454841.41, Players: 1
End time: 1375455076.66, Score: 3400
Player,Time,HR
Black,2013-08-02 10:48:06.479512,53.1067008972
Black,2013-08-02 10:48:06.569871,59.8276863098
Black,2013-08-02 10:48:06.655239,59.6291542053
Black,2013-08-02 10:48:06.741720,59.4304199219
Black,2013-08-02 10:48:06.846894,59.2244186401
Black,2013-08-02 10:48:06.944385,58.9782791138
Black,2013-08-02 10:48:07.040652,58.7681732178
Black,2013-08-02 10:48:07.131000,58.5704040527
Black,2013-08-02 10:48:07.223219,58.3655700684
Black,2013-08-02 10:48:07.314949,53.6921463013
Black,2013-08-02 10:48:07.400860,53.517162323
Black,2013-08-02 10:48:07.484764,60.0192337036
Black,2013-08-02 10:48:07.581274,59.812084198
Black,2013-08-02 10:48:07.665818,59.6170539856
Black,2013-08-02 10:48:07.753900,59.4324798584
Black,2013-08-02 10:48:07.841011,59.2423095703
Black,2013-08-02 10:48:07.928023,59.0510292053
Black,2013-08-02 10:48:08.011417,58.8704338074
Black,2013-08-02 10:48:08.106489,58.6703567505
Black,2013-08-02 10:48:08.205710,58.4658432007
Black,2013-08-02 10:48:08.292799,58.2717628479
Black,2013-08-02 10:48:08.396843,60.2258033752
Black,2013-08-02 10:48:08.488380,60.0142440796
Black,2013-08-02 10:48:08.573122,59.8288612366
Black,2013-08-02 10:48:08.668453,59.6338691711
Black,2013-08-02 10:48:08.764358,59.4350395203
Black,2013-08-02 10:48:08.861884,59.2236557007
Black,2013-08-02 10:48:08.953167,59.0322799683
Black,2013-08-02 10:48:09.048317,58.8421096802
Black,2013-08-02 10:48:09.140594,58.6486701965
Black,2013-08-02 10:48:09.233835,58.4583053589
Black,2013-08-02 10:48:09.325920,58.2688293457
